ID;sex;age;nationality;highest_education;student;MD01;MD02;MD03;MD04;MD05;MD06;MD07;MD08;GM02_01;GM02_02;GM02_03;GM02_04;GM02_05;GM02_06;GM02_07;GM02_08;GM02_09;GM02_10;GM02_11;GM02_12;GM02_13;GM02_14;GM02_15;GM02_16;GM03_17;GM03_18;GM03_19;GM03_20;GM03_21;GM03_22;GM03_23;GM03_24;GM03_25;GM03_26;GM03_27;GM03_28;GM03_29;GM03_30;GM03_31;GM03_32;GN01_01;GN01_02;GN01_03;GN01_04;GN01_05;GN01_06;GN01_07;GN01_08;GN01_09;GN01_10;GN01_11;GN01_12;GN01_13;GN01_14;GN01_15;VN02_01;VN02_02;VN02_03;VN02_04;VN02_05;VN02_06;VN02_07;VN02_08;VN02_09;VN02_10;PS01_01;PS01_02;PS01_03;PS01_04;PS01_04_R;PS01_05;PS01_06;PS01_07;PS01_08;PS01_09;PS01_10;PS01_11;PS01_11_R;PS01_12;PS01_13;PS01_14;PS01_15;PS01_16;PS03_17;PS03_17_R;PS03_18;PS03_18_R;PS03_19;PS03_19_R;PS03_20;PS03_21;PS03_22;PS03_23;PS03_24;PS03_25;PS03_26;PS03_27;PS03_28;PS03_29;PS03_30;PS03_31;LTS_total;LTS_FIH;LTS_H;LTS_K;NPI_total;NPI_LP;NPI_G;HSNS_total;HSNS_STJ;HSNS_E;SRP_total;SRP_AB;SRP_IM;SRP_ITS;SRP_CA;MA02_01;MA02_02;MA02_03;MA02_04_R;MA02_05;DC01_01_R;DC01_02;DC01_03_R;DC01_04;DC01_05_R;DC01_06;DC01_07_R;DC01_08;DC01_09_R;DC01_10;DC01_11;DC01_12;DC01_13_R;DC01_14_R;DC01_15;DC01_16_R;MACH_total;DC_total;SRP_F1;SRP_F2
2166;1;48;2;2;1;-2;-2;2;-1;-2;-1;-2;-2;4;4;4;4;3;5;5;5;4;4;3;4;4;3;3;4;3;3;3;2;3;3;1;1;3;2;1;1;5;4;3;1;1;1;3;1;4;5;6;6;1;2;2;3;1;2;6;2;4;3;1;4;3;4;3;3;5;3;1;1;2;4;3;3;4;3;3;3;5;1;2;4;3;2;2;3;3;3;3;4;2;3;1;1;2;4;1;5;4;1;1;1;1;4,08333333333333;4,00;4,50;3,75;2,93333333333333;2,9;3,0;3,2;3,2;3,2;2,41935483870968;2,1;2,28571428571429;2,77777777777778;2,6;4;2;4;2;2;2;3;1;1;2;1;1;3;2;2;2;4;2;3;4;2;2,8;2,1875;2,41666666666667;2,42105263157895
2167;2;24;2;4;2;-2;-2;-2;-2;-2;1;-1;-1;4;4;4;3;4;4;4;4;5;3;4;2;4;5;4;4;3;2;1;4;1;1;2;3;3;4;3;4;4;4;2;1;4;5;3;5;5;5;5;5;4;4;5;6;6;4;4;4;4;1;2;2;4;4;2;2;1;3;1;1;4;2;3;1;4;4;3;2;5;1;5;3;2;4;2;4;2;2;4;4;2;4;1;1;1;4;1;5;1;4;1;1;4;3,75000000000000;3,75;4,00;3,50;4,66666666666667;4,6;4,8;2,6;3,0;2,2;2,48387096774194;2,3;2,28571428571429;2,88888888888889;2,4;2;2;2;2;1;1;2;1;3;2;1;1;3;2;3;1;1;1;3;1;1;1,8;1,6875;2,33333333333333;2,57894736842105
2168;2;30;1;5;1;-1;-2;-2;-2;-2;1;1;-2;4;4;4;3;3;4;5;4;5;5;5;2;3;1;2;5;5;2;3;4;1;5;1;1;2;1;3;1;4;4;1;2;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;4;4;4;4;4;4;4;4;4;4;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;4,00000000000000;3,75;4,00;4,25;5,00000000000000;5,0;5,0;4,0;4,0;4,0;3,00000000000000;3,0;3,00000000000000;3,00000000000000;3,0;3;3;3;4;3;2;4;2;4;2;4;2;4;2;4;4;4;2;2;4;2;3,2;3,0000;3,00000000000000;3,00000000000000
2170;2;38;1;4;1;-1;1;-1;-1;1;1;1;-1;3;4;4;3;2;3;4;4;4;4;4;4;3;5;3;4;3;3;2;4;2;3;1;1;4;4;1;2;4;4;2;2;2;2;2;2;3;1;3;3;1;3;4;3;3;4;2;3;4;3;1;4;2;4;3;2;2;1;1;1;3;3;2;1;2;4;1;3;5;1;3;2;2;3;2;2;4;2;4;3;3;2;1;1;1;4;5;2;2;5;1;4;1;3,58333333333333;3,50;3,25;4,00;2,53333333333333;2,7;2,2;2,8;3,2;2,4;2,32258064516129;2,6;2,57142857142857;1,88888888888889;2,2;5;5;3;3;4;1;3;2;2;1;1;1;1;1;2;3;2;1;1;2;1;4,0;1,5625;2,41666666666667;2,26315789473684
2171;1;21;1;4;2;-2;-2;1;-2;-1;1;-2;-2;5;3;3;4;4;5;5;4;5;5;5;3;3;1;3;5;4;2;1;5;4;4;1;1;3;1;3;1;5;4;2;2;4;1;2;6;4;2;2;4;2;2;1;3;1;1;6;4;4;2;3;2;4;4;2;1;2;4;2;1;4;2;2;4;4;3;3;2;5;1;1;4;1;3;2;3;3;3;3;3;3;2;1;1;1;4;1;2;1;3;1;1;1;4,25000000000000;3,75;4,50;4,50;2,73333333333333;2,2;3,8;2,8;3,0;2,6;2,16129032258065;1,6;2,85714285714286;2,22222222222222;2,2;4;2;6;2;2;1;2;1;1;1;3;1;2;2;2;2;1;1;1;1;1;3,2;1,4375;2,58333333333333;1,89473684210526
2172;1;48;1;4;1;1;-2;-2;-1;1;-1;1;-1;4;4;4;2;3;4;4;4;4;3;4;3;4;3;3;4;3;3;3;3;4;4;3;3;3;2;3;3;3;3;2;3;4;3;2;3;3;2;2;2;2;2;2;2;2;2;2;2;3;4;3;4;3;4;4;3;3;4;2;1;3;3;1;2;3;4;1;2;3;3;3;1;2;3;3;3;3;3;3;4;2;3;3;3;1;1;1;1;1;2;1;1;1;3,58333333333333;3,50;3,75;3,50;2,33333333333333;2,4;2,2;3,3;3,2;3,4;2,09677419354839;1,3;2,57142857142857;2,00000000000000;3,2;5;4;4;3;4;3;3;2;3;2;2;3;3;2;3;4;3;3;3;1;3;4,0;2,6875;2,83333333333333;1,63157894736842
2173;2;54;2;5;1;-2;-2;-1;-2;-2;-2;-2;-2;4;4;4;2;3;4;5;4;4;2;4;3;3;2;2;3;2;2;1;3;2;5;2;2;3;1;1;2;4;3;4;3;2;4;3;3;3;3;2;3;3;3;2;3;3;3;3;3;4;3;3;4;2;4;2;4;3;2;2;1;2;4;2;2;3;4;1;2;2;4;1;1;1;5;2;4;2;3;3;4;2;2;1;1;1;4;1;1;1;1;1;1;1;3,58333333333333;3,50;4,00;3,25;2,86666666666667;2,8;3,0;3,2;3,6;2,8;1,93548387096774;1,3;2,57142857142857;1,44444444444444;3,2;6;2;3;2;3;2;3;1;3;2;1;2;4;2;3;2;2;2;2;3;2;3,2;2,2500;2,83333333333333;1,36842105263158
2175;2;19;1;1;1;-2;-1;-2;-2;1;2;2;1;3;2;4;1;1;5;5;5;5;4;2;3;4;3;2;3;2;1;3;2;4;5;1;1;3;5;3;2;5;5;3;3;2;2;4;5;5;2;2;4;4;4;5;4;2;3;5;3;5;4;2;1;4;5;3;5;2;3;2;1;5;1;5;2;4;3;3;1;5;1;1;1;3;2;4;3;3;5;1;5;1;4;1;1;4;2;1;3;1;1;1;1;1;3,33333333333333;2,50;4,00;3,50;3,53333333333333;3,3;4,0;3,4;4,4;2,4;2,03225806451613;1,6;2,14285714285714;2,44444444444444;2,0;5;1;5;1;4;2;3;1;2;1;1;1;3;2;3;2;2;1;2;2;1;3,2;1,8125;2,08333333333333;2,00000000000000
2176;1;23;1;4;1;-2;-2;-2;1;-1;-1;-2;-2;2;3;2;1;2;4;4;3;5;5;3;4;2;3;5;5;5;4;3;4;1;3;1;1;5;1;2;1;4;2;1;1;2;1;1;1;2;2;2;1;1;1;2;2;1;1;2;2;4;4;3;2;1;4;2;3;3;3;2;1;4;2;1;1;1;3;2;1;5;1;2;1;1;2;2;3;3;4;2;4;2;2;1;1;2;5;1;2;1;1;1;1;1;3,16666666666667;2,00;3,25;4,25;1,46666666666667;1,6;1,2;2,8;3,4;2,2;1,67741935483871;1,6;2,00000000000000;1,55555555555556;1,6;3;4;2;4;2;1;2;1;1;2;1;5;1;2;1;1;1;1;1;2;1;3,0;1,5000;1,83333333333333;1,57894736842105
2178;1;22;2;4;2;-2;-1;-2;-1;-2;1;-2;-2;3;4;2;2;3;4;5;2;5;2;4;3;3;4;4;4;2;2;1;5;4;4;1;2;3;3;1;4;4;2;2;2;4;2;1;1;3;4;3;3;3;1;4;3;3;3;4;2;2;4;4;4;3;2;2;4;2;1;2;4;2;4;2;2;1;4;3;4;5;1;2;4;3;5;5;2;4;5;1;4;2;4;1;1;5;5;1;3;1;2;1;1;1;3,25000000000000;2,75;3,50;3,50;2,80000000000000;2,8;2,8;2,9;2,8;3,0;2,58064516129032;2,1;3,00000000000000;3,00000000000000;2,2;4;3;4;5;3;2;3;2;2;3;1;1;2;1;2;2;4;3;2;3;1;3,8;2,1250;2,66666666666667;2,52631578947368
2180;1;24;1;3;1;-2;-1;-1;-2;-1;-1;-1;-1;2;3;4;5;4;3;3;4;4;5;4;5;4;5;4;5;4;4;2;5;4;3;1;1;5;1;1;3;4;5;5;3;1;1;2;6;4;3;1;1;2;2;3;6;4;2;5;3;5;3;3;4;3;4;4;4;3;5;3;1;2;4;2;2;2;3;3;3;2;4;1;2;1;5;2;3;3;2;4;4;2;4;2;1;4;5;1;5;1;1;1;1;1;3,83333333333333;3,50;3,50;4,50;2,86666666666667;2,5;3,6;3,6;3,8;3,4;2,54838709677419;2,1;3,00000000000000;2,44444444444444;3,0;6;5;5;4;6;2;5;2;4;2;2;1;1;2;2;4;1;4;2;1;4;5,2;2,4375;3,00000000000000;2,26315789473684
2181;2;60;1;3;1;-2;-2;-1;-1;1;-1;1;-1;4;4;3;2;4;4;4;4;3;4;3;2;3;1;2;4;2;2;4;2;4;4;3;3;4;1;3;4;3;4;1;2;3;4;3;2;2;2;4;3;2;2;3;2;4;4;2;2;3;2;3;4;3;4;3;3;3;2;1;2;3;3;2;2;3;3;2;3;4;2;2;2;2;2;2;4;2;4;2;3;3;2;3;1;2;5;1;2;1;1;1;1;1;3,41666666666667;3,25;4,00;3,00;2,80000000000000;2,9;2,6;3,0;2,8;3,2;2,03225806451613;1,6;2,00000000000000;2,11111111111111;2,8;3;2;2;2;2;2;3;4;4;4;2;5;3;2;3;4;2;1;2;4;2;2,2;2,9375;2,33333333333333;1,84210526315789
2184;1;57;2;5;1;-2;-2;-2;-1;-2;-1;-2;-2;4;4;3;4;4;4;5;5;4;5;3;4;4;1;3;4;4;1;3;4;3;3;2;2;5;4;3;2;4;3;2;1;3;2;2;2;2;1;1;1;1;3;2;2;1;1;3;3;2;4;3;1;3;4;2;1;1;5;1;1;2;4;2;1;4;3;3;1;5;1;3;3;1;2;1;4;2;5;1;5;1;3;1;1;2;3;1;1;3;1;1;1;1;4,08333333333333;3,75;4,50;4,00;1,80000000000000;1,9;1,6;2,4;2,8;2,0;1,90322580645161;1,5;1,28571428571429;2,44444444444444;2,6;3;3;2;5;1;1;3;1;1;1;2;1;1;1;2;1;1;1;1;1;1;2,8;1,2500;1,83333333333333;1,94736842105263
2188;1;19;1;4;2;-2;-2;-2;-2;-2;-2;-2;-2;5;5;5;5;5;4;5;5;5;5;4;5;3;1;3;5;5;1;3;5;1;5;2;1;5;1;4;1;5;3;1;1;3;1;1;1;2;1;1;2;1;1;4;1;1;2;1;5;5;5;2;3;1;5;1;1;1;3;1;1;5;1;1;1;1;3;1;1;5;1;2;1;1;1;1;4;2;4;2;5;1;3;1;1;1;4;1;5;1;1;1;1;1;4,83333333333333;5,00;4,75;4,75;1,53333333333333;1,7;1,2;2,9;4,2;1,6;1,51612903225806;1,7;1,28571428571429;1,55555555555556;1,4;6;4;2;6;3;1;1;1;1;1;2;1;2;1;1;1;1;1;1;1;1;4,2;1,1250;1,33333333333333;1,63157894736842
2189;2;59;2;5;1;-2;-2;1;-1;-2;1;1;1;4;4;3;2;2;2;4;4;5;4;4;2;4;1;3;4;3;2;3;3;2;5;1;3;3;1;3;3;4;3;1;2;4;4;4;5;6;4;2;4;4;2;4;4;3;3;1;2;3;2;2;3;1;4;1;4;3;4;3;1;4;2;1;1;2;3;1;1;2;4;3;2;1;3;1;2;4;4;2;5;1;2;1;1;2;2;5;1;5;2;1;1;1;3,33333333333333;3,25;3,00;3,75;3,60000000000000;3,7;3,4;2,5;3,0;2,0;2,06451612903226;2,1;2,14285714285714;1,77777777777778;2,4;3;3;1;2;1;2;2;1;1;1;1;2;2;2;3;1;2;2;1;2;1;2,0;1,6250;2,25000000000000;1,94736842105263
2191;1;56;1;5;1;-2;-2;-2;-2;-2;1;-2;-1;4;4;3;3;2;3;4;5;4;4;5;4;3;1;3;4;5;1;1;5;1;5;1;3;5;1;1;1;4;5;1;3;3;2;1;5;3;2;1;1;1;1;3;2;1;1;1;3;3;3;2;4;3;3;3;4;2;1;1;1;1;5;1;1;3;3;1;1;4;2;1;4;1;3;1;3;3;4;2;4;2;1;1;1;1;2;1;1;1;1;1;1;1;3,75000000000000;3,50;3,50;4,25;1,86666666666667;1,9;1,8;3,0;3,2;2,8;1,61290322580645;1,1;1,85714285714286;1,33333333333333;2,8;4;3;1;1;3;2;1;1;1;1;1;1;1;1;3;1;1;1;1;1;2;2,4;1,2500;2,25000000000000;1,21052631578947
2192;1;21;1;4;2;-2;-2;-2;-2;-1;1;-2;-1;4;5;4;5;5;5;5;5;5;5;5;5;3;3;4;4;5;2;2;5;2;5;1;1;5;2;1;2;5;4;1;1;4;2;2;5;4;1;1;3;2;2;5;3;3;3;4;5;5;4;2;1;3;4;2;1;1;4;1;3;2;4;4;1;1;4;3;3;5;1;2;3;3;4;2;4;2;5;1;5;1;5;1;1;1;4;1;4;1;1;1;1;1;4,83333333333333;4,50;5,00;5,00;2,93333333333333;2,7;3,4;2,8;3,8;1,8;2,22580645161290;1,6;1,71428571428571;3,33333333333333;2,2;1;1;1;2;1;1;1;1;2;1;1;1;1;1;2;2;1;1;1;1;1;1,2;1,1875;1,91666666666667;2,42105263157895
2194;1;20;1;4;2;-2;-2;-1;1;1;1;1;1;4;4;4;3;4;3;3;4;5;4;5;4;2;2;4;4;3;3;2;4;3;4;1;1;4;1;2;4;4;3;2;3;1;3;4;5;3;4;2;4;2;5;2;4;2;2;4;5;5;4;2;1;2;4;4;2;1;1;2;1;4;2;1;1;1;3;1;1;4;2;1;2;1;4;2;3;3;4;2;4;2;2;1;1;1;2;1;1;1;1;1;1;1;3,91666666666667;3,75;3,50;4,50;3,13333333333333;3,0;3,4;3,0;4,0;2,0;1,51612903225806;1,1;2,28571428571429;1,22222222222222;1,8;1;1;1;2;3;1;1;1;2;1;1;1;1;2;1;3;1;2;2;1;1;1,6;1,3750;2,08333333333333;1,15789473684211
2195;1;21;1;2;1;1;-2;1;2;2;1;-2;-2;2;2;1;2;4;3;5;5;5;1;3;5;4;5;4;5;2;1;1;5;5;5;1;1;1;4;2;1;5;5;5;3;3;1;1;1;1;1;6;4;4;1;3;1;1;1;1;4;5;5;5;1;2;5;3;5;1;5;5;1;1;5;5;5;1;4;3;5;2;4;1;5;5;1;5;1;5;1;5;5;1;5;1;1;1;5;1;5;1;2;1;1;1;3,16666666666667;1,75;4,25;3,50;2,00000000000000;1,9;2,2;3,6;4,8;2,4;3,09677419354839;1,9;3,85714285714286;3,88888888888889;3,0;6;6;5;6;4;2;2;1;2;1;1;1;5;3;5;1;1;3;1;5;1;5,4;2,1875;3,50000000000000;2,84210526315789
2197;1;21;1;3;1;-1;-2;-2;-2;1;1;-2;-1;4;4;3;2;3;4;5;5;5;4;5;4;1;1;5;5;3;1;2;4;2;5;3;2;4;1;3;2;5;4;2;3;3;1;2;1;4;2;2;1;1;1;3;5;2;2;2;4;5;4;3;1;3;4;1;4;1;2;1;2;5;1;1;1;1;3;1;1;5;1;1;2;1;2;1;3;3;4;2;5;1;2;1;1;3;4;1;5;1;1;1;1;3;4,00000000000000;3,25;4,25;4,50;2,13333333333333;2,5;1,4;3,0;4,2;1,8;1,67741935483871;2,1;1,57142857142857;1,44444444444444;1,4;5;1;2;4;1;1;2;1;2;1;1;1;1;1;2;1;1;1;2;1;1;2,6;1,2500;1,50000000000000;1,78947368421053
2201;2;24;2;5;2;-2;1;-1;-1;1;2;1;-1;2;2;3;2;3;4;4;2;3;3;4;2;4;5;3;3;2;2;1;5;2;2;1;1;3;4;2;1;4;3;2;4;5;4;3;4;5;4;4;4;2;3;5;4;4;4;3;2;2;1;3;2;3;2;3;4;3;2;1;1;3;3;4;4;2;4;4;3;4;2;4;4;1;3;2;2;4;2;4;2;4;1;1;1;1;5;1;4;4;1;1;1;1;2,83333333333333;2,25;3,25;3,00;3,86666666666667;4,1;3,4;2,5;2,2;2,8;2,51612903225806;2,0;3,14285714285714;2,66666666666667;2,4;5;4;3;3;6;2;3;2;2;4;3;4;4;3;4;4;1;1;2;4;3;4,2;2,8750;2,83333333333333;2,31578947368421
2206;1;34;1;5;1;-1;-1;-2;-2;-2;-1;-1;-2;4;4;5;1;2;2;4;3;5;4;5;5;3;4;3;4;2;2;2;4;2;4;1;1;4;2;2;2;4;2;1;1;5;3;2;5;4;3;2;2;2;2;2;2;2;3;4;3;4;2;3;4;4;4;3;2;2;4;2;2;2;4;5;2;1;5;3;3;4;2;3;2;2;3;2;2;4;4;2;4;2;3;1;1;1;4;1;2;1;2;1;1;1;3,66666666666667;3,50;2,75;4,75;2,86666666666667;2,8;3,0;3,1;3,0;3,2;2,32258064516129;1,5;2,42857142857143;3,00000000000000;2,6;4;4;3;3;1;2;2;2;3;1;2;1;2;2;4;2;2;3;2;2;2;3,0;2,1250;2,50000000000000;2,21052631578947
2209;1;20;1;4;2;-2;-1;-2;1;-2;-2;-2;1;4;4;4;2;4;4;5;5;5;4;5;4;2;2;4;5;2;1;2;4;1;4;1;2;4;2;2;1;5;5;1;2;5;4;4;4;3;2;2;4;1;4;2;1;3;3;4;5;5;2;1;1;5;4;1;2;1;1;2;2;4;2;4;3;2;4;3;2;5;1;4;1;4;5;2;2;4;2;4;4;2;2;1;1;4;5;1;1;2;1;1;1;1;4,16666666666667;3,50;4,50;4,50;3,06666666666667;3,0;3,2;2,7;3,6;1,8;2,35483870967742;1,8;3,14285714285714;2,55555555555556;2,0;5;2;1;2;2;3;1;1;1;1;1;2;2;1;2;1;1;1;2;2;1;2,4;1,4375;2,66666666666667;2,15789473684211
2210;1;28;1;5;2;1;-2;-2;-1;-1;1;-1;-2;3;3;3;4;2;2;3;2;3;4;3;3;3;3;2;3;4;4;2;4;4;3;4;3;4;2;3;4;3;3;3;4;4;3;5;2;4;2;2;6;3;4;3;4;6;4;3;2;1;4;4;2;3;5;3;3;2;2;3;2;3;3;3;2;3;3;4;3;3;3;4;3;4;4;4;2;4;3;3;3;3;3;3;2;3;3;3;3;3;3;3;3;2;2,91666666666667;3,25;2,25;3,25;3,66666666666667;3,5;4,0;2,9;3,0;2,8;3,03225806451613;2,8;3,28571428571429;3,11111111111111;3,0;1;6;3;3;3;3;2;2;3;4;3;3;2;3;3;3;4;2;2;2;2;3,2;2,6875;3,16666666666667;2,94736842105263
2215;1;23;1;5;2;1;1;-1;2;2;-2;1;-2;2;1;2;2;4;2;4;2;4;4;3;2;4;5;2;2;2;4;3;4;3;3;2;2;2;3;2;2;3;2;5;3;4;3;2;3;5;5;2;5;4;2;4;5;2;4;1;4;5;2;3;2;2;5;2;4;3;2;4;2;3;3;1;1;4;2;2;1;4;2;1;1;1;1;4;1;5;4;2;5;1;5;1;1;1;4;1;4;1;1;1;1;1;2,66666666666667;1,75;3,00;3,25;3,40000000000000;3,6;3,0;3,2;4,0;2,4;2,00000000000000;1,6;2,57142857142857;1,77777777777778;2,4;4;2;4;4;4;2;2;2;2;2;4;2;4;1;2;4;4;2;2;4;2;3,6;2,5625;2,50000000000000;1,68421052631579
2218;1;23;1;4;1;-2;-1;-1;-2;-1;-1;-2;-2;4;4;4;2;4;4;5;5;4;4;3;4;3;4;4;4;2;2;2;4;4;3;1;1;4;2;2;1;4;3;2;2;4;2;4;4;5;5;2;5;3;4;2;3;1;4;3;3;4;2;4;2;2;3;3;5;1;2;1;2;2;4;1;2;4;3;2;1;5;1;2;3;1;3;1;3;3;4;2;5;1;1;1;1;2;4;1;1;1;1;1;1;1;3,91666666666667;3,50;4,50;3,75;3,40000000000000;3,5;3,2;2,9;3,4;2,4;1,77419354838710;1,4;1,85714285714286;1,66666666666667;2,6;4;2;2;2;1;2;2;2;2;2;1;1;3;1;3;1;1;1;1;2;5;2,2;1,8750;2,16666666666667;1,52631578947368
2220;1;21;1;4;2;-2;-2;-2;-2;-2;-2;-2;-2;4;4;3;3;3;5;5;5;5;5;3;4;1;1;5;5;5;1;1;5;3;5;1;1;5;1;1;1;5;5;1;1;2;2;1;3;1;1;1;2;1;1;1;1;1;1;1;4;3;3;2;1;1;4;1;4;1;1;1;1;3;3;1;1;1;3;1;1;5;1;1;1;1;2;1;3;3;4;2;5;1;1;1;1;1;3;1;1;1;1;1;1;1;4,08333333333333;3,50;4,50;4,25;1,33333333333333;1,2;1,6;2,4;3,6;1,2;1,32258064516129;1,2;1,57142857142857;1,00000000000000;1,8;1;1;1;2;1;1;1;1;1;1;1;1;1;1;1;1;1;2;1;1;1;1,2;1,0625;1,66666666666667;1,10526315789474
2221;2;55;2;5;1;-2;-2;-2;-2;-2;2;-2;-2;4;4;4;4;2;4;5;4;4;5;5;5;2;2;5;4;5;1;1;4;3;5;1;1;4;2;1;1;5;3;2;2;3;1;1;3;4;2;2;1;1;2;1;3;1;2;1;5;3;3;3;1;4;4;1;3;2;1;3;2;4;2;2;2;2;4;2;2;5;1;2;1;1;3;2;4;2;4;2;4;2;1;1;1;1;2;1;1;5;2;1;1;1;4,16666666666667;4,00;3,75;4,75;1,86666666666667;2,1;1,4;2,9;3,6;2,2;1,80645161290323;1,6;2,28571428571429;1,55555555555556;2,0;4;2;1;1;1;1;1;1;1;1;1;1;4;2;1;2;1;2;1;2;1;1,8;1,4375;2,16666666666667;1,57894736842105
2226;1;24;1;4;2;-2;-1;1;-2;-2;-1;-2;-2;4;4;4;3;4;4;3;5;2;4;3;3;4;3;4;3;4;2;1;4;1;2;3;2;4;3;2;2;4;3;3;1;4;2;3;5;3;4;4;4;2;3;2;4;3;4;5;5;3;2;2;2;2;4;3;4;4;3;2;4;2;4;4;2;4;3;4;3;4;2;2;2;2;4;2;3;3;4;2;4;2;2;1;1;2;4;1;2;4;4;1;1;1;3,58333333333333;3,75;4,00;3,00;3,46666666666667;3,3;3,8;3,1;3,6;2,6;2,51612903225806;2,1;2,42857142857143;2,88888888888889;2,8;3;1;1;2;1;2;1;2;2;3;1;1;3;2;2;3;2;2;2;2;1;1,6;1,9375;2,58333333333333;2,47368421052632
2227;1;20;1;4;2;-2;-1;2;-1;2;-2;1;-1;2;4;4;3;3;2;4;5;5;4;4;4;4;2;2;3;2;2;4;4;3;3;1;2;2;4;4;2;5;4;4;5;2;2;6;5;6;4;2;5;2;6;3;5;5;5;3;4;3;3;1;5;5;4;4;1;1;2;5;1;1;5;3;2;2;3;1;2;4;2;5;5;1;1;1;1;5;2;4;4;2;3;1;1;3;1;1;5;1;1;1;1;1;3,66666666666667;3,25;3,50;4,25;4,06666666666667;4,1;4,0;3,1;3,0;3,2;2,32258064516129;1,6;2,85714285714286;2,55555555555556;2,6;4;2;5;2;2;1;2;1;4;4;1;4;3;2;3;3;1;1;2;3;2;3,0;2,3125;2,75000000000000;2,05263157894737
2229;1;37;2;2;1;-1;1;1;1;-2;-1;-2;-1;1;1;1;1;5;4;5;5;5;2;5;3;5;4;1;4;4;1;1;5;5;5;1;1;5;1;1;1;5;4;3;1;2;2;1;1;3;1;1;3;1;1;1;4;2;2;1;5;5;5;4;2;2;5;5;4;3;3;1;1;3;3;1;1;1;2;1;1;5;1;1;4;1;1;1;3;3;4;2;4;2;1;1;1;1;4;1;3;3;1;1;1;1;3,16666666666667;1,00;4,75;3,75;1,73333333333333;1,8;1,6;4,0;4,8;3,2;1,61290322580645;1,7;1,57142857142857;1,55555555555556;1,6;4;6;5;6;3;1;3;1;3;2;2;2;4;2;3;4;3;3;2;4;1;4,8;2,5000;1,58333333333333;1,63157894736842
2232;2;23;1;5;2;-1;-1;-2;-2;1;1;-1;-1;3;4;3;2;4;5;4;5;4;2;3;2;4;4;2;4;2;2;4;4;4;5;3;1;2;2;3;2;4;4;2;2;5;3;3;4;5;4;5;5;4;4;5;6;6;5;5;2;1;2;2;3;4;1;2;2;2;5;3;2;4;2;4;2;2;4;3;2;4;2;4;4;3;4;2;1;5;2;4;3;3;2;1;1;4;2;1;4;3;2;2;4;2;3,41666666666667;3,00;4,50;2,75;4,60000000000000;4,5;4,8;2,1;1,6;2,6;2,83870967741935;2,5;3,28571428571429;3,22222222222222;2,2;3;5;4;3;4;2;1;3;1;4;2;4;4;4;3;1;1;2;2;1;1;3,8;2,2500;2,83333333333333;2,84210526315789
2234;1;20;1;4;2;-2;-2;-2;-1;-2;-2;-2;-2;4;5;5;5;4;4;4;3;3;5;5;3;3;2;5;3;3;1;4;4;2;4;2;1;4;1;4;2;4;2;1;1;5;1;5;5;2;1;1;5;1;6;1;1;5;1;3;2;5;5;2;1;1;5;5;3;1;1;1;4;1;5;1;1;5;2;4;1;4;2;1;1;1;5;1;1;5;4;2;5;1;5;2;1;1;5;2;5;1;5;1;1;1;4,16666666666667;4,75;3,75;4,00;2,86666666666667;2,4;3,8;3,0;4,0;2,0;2,38709677419355;2,3;2,28571428571429;2,11111111111111;3,2;1;1;1;1;1;1;1;1;4;2;1;5;1;1;1;1;1;1;2;1;1;1,0;1,5625;2,66666666666667;2,21052631578947
2238;1;22;1;4;1;-1;-2;-2;-2;-1;1;-1;-2;5;4;3;4;3;4;4;4;5;1;1;3;1;1;5;5;4;1;1;5;5;5;2;1;2;1;1;1;5;4;1;1;2;2;1;3;4;3;1;1;1;1;5;3;1;1;1;5;4;3;3;1;1;4;1;1;1;3;1;1;3;3;3;1;1;3;1;1;5;1;1;5;3;1;1;5;1;4;2;5;1;4;1;1;1;4;2;5;1;2;1;1;1;3,41666666666667;4,00;3,75;2,50;2,00000000000000;2,3;1,4;2,4;3,4;1,4;1,87096774193548;1,9;1,14285714285714;2,44444444444444;1,8;4;1;1;3;4;1;3;1;1;1;1;1;2;1;1;1;1;3;3;1;1;2,6;1,4375;1,41666666666667;2,15789473684211
2240;2;27;1;5;1;-1;-2;-2;1;1;1;2;-2;3;4;4;1;3;4;4;4;4;4;3;4;3;3;3;3;3;4;4;4;3;4;2;2;4;2;2;1;4;3;3;2;4;3;2;4;4;3;3;4;3;2;4;5;4;4;3;2;4;2;1;2;2;3;3;2;1;4;2;2;3;3;2;2;2;4;3;2;5;1;2;2;2;4;2;4;2;3;3;4;2;4;2;1;4;5;2;2;4;4;1;3;1;3,50000000000000;3,00;3,75;3,75;3,46666666666667;3,4;3,6;2,2;2,6;1,8;2,54838709677419;2,7;2,42857142857143;2,55555555555556;2,4;3;2;2;3;2;2;2;1;1;2;2;2;3;2;3;2;2;2;2;4;2;2,4;2,1250;2,41666666666667;2,63157894736842
